HobbyID	FacultyID
1	5
1	6
1	15
1	16
1	17
2	1
2	2
2	26
2	27
2	30
3	5
3	9
3	11
3	12
3	14
4	19
4	22
4	26
4	29
4	28
5	23
5	25
6	1
6	2
6	3
6	26
6	27
6	30
7	5
7	10
7	11
7	31
7	34
8	26
8	27
8	28
8	29
8	30
9	26
9	28
10	31
10	32
10	33
11	19
11	22
12	36
12	38
12	39
13	26
13	27
13	30
14	5
14	8
14	9
14	10
14	11
15	31
15	32
15	33
15	34
15	35
16	1
16	4
17	1
17	2
17	3
18	15
18	16
18	17
18	18
19	15
19	16
19	17
19	18
20	31
20	33
20	34
20	35
21	15
21	16
21	17
21	18
22	19
22	20
22	21
22	22
23	19
23	20
23	21
23	22
24	31
24	33
24	34
25	5
25	7
25	11
25	23
25	24
25	25
25	26
25	29
25	30
25	31
25	32
25	34
25	36
25	37
25	39
26	31
26	33
26	34
26	35
27	23
27	24
27	25
28	23
28	24
28	25
29	26
29	27
29	28
29	30
30	26
30	29
31	19
31	22
31	26
31	29
32	15
32	16
32	17
32	18
33	12
33	14
34	12
34	40
35	5
35	10
35	12
35	13
36	12
36	13
37	5
37	10
38	40
38	5
38	9
38	10
38	11
39	5
39	9
39	10
39	11
40	12
40	14
41	12
41	14
42	1
42	2
43	1
43	3
44	1
44	4
45	1
45	4
45	37
46	36
46	38
46	39
47	31
47	32
48	1
48	3
48	26
48	27
49	36
49	37
49	39
50	36
50	37
50	39
50	1
50	4
